CH4 PLUG,,CO2 PLUG,,H2O PLUG,,CO PLUG,,CH4 B-L,,CO2 B-L,,H2O B-L,,CO B-L,,CH4 N-S,,CO2 N-S,,H2O N-S,,CO N-S,
0.9747190131,0.0164785271,1.0075159691,0.0006782551,0.9823164731,0.0005018586,0.8904362072,2.20523577597121E-05,0.9490681828,0.0166571803,1.0078544698,0.0004119679,1.0965040401,0.0006743059,0.9802468676,1.98503315846487E-07,0.9931034483,0.0161341853,0.9931034483,0.0002236422,0.9793103448,0.0003190481,0.9461769032,5.50139098328296E-07
1.2698163947,0.0143352536,1.1927886815,0.004930388,1.2685000031,0.005370815,1.332787221,1.85217466411643E-05,1.5604004338,0.0157424762,1.7929880208,0.0027735744,1.8315770998,0.0024168323,1.2701208274,4.95545032499704E-07,1.4620689655,0.0150948551,1.2413793103,0.0027235871,1.4068965517,0.0029205685,1.0947442891,1.05464009073016E-06
1.5649137764,0.01219198,1.390661142,0.0092707191,1.5427607866,0.0096189987,1.8649488951,0.000014003,2.3497088267,0.0148198738,2.565747491,0.0048694578,2.6044494035,0.0044239533,2.0060320593,8.56368377810897E-07,2,0.014153575,1.5862068966,0.0046515369,1.9448275862,0.0051422276,1.5277120995,0.000001449
1.9748757264,0.0096885794,1.6396095959,0.0134312687,1.8804716443,0.0139531239,2.4849105431,1.05894385812242E-05,3.1515041341,0.0140742319,3.4146696171,0.0070507187,3.5424724341,0.0065125026,2.7190438069,1.05967042926679E-06,2.6344827586,0.0133112262,2.0689655172,0.0069672799,2.5103448276,0.0069813815,2.2267607469,0.000001731
2.4603233308,0.0078031305,2.0137656948,0.0190951375,2.2060340883,0.0178440013,3.1055424199,7.73139680708015E-06,4.029800598,0.0131476803,4.2134184182,0.0087016618,4.4303221398,0.0080707341,3.5504626441,1.22263634646861E-06,3.2551724138,0.0125642834,2.6620689655,0.0089031618,3.1724137931,0.0085360802,3.2494182042,1.89563181412453E-06
2.9074075235,0.006096899,2.3386511374,0.0235185893,2.6715477631,0.0216399105,3.8445813863,5.26331406582124E-06,4.7680329975,0.0124048594,4.9992289706,0.0105306939,5.3811705855,0.0100699568,4.3103904083,1.29170962270391E-06,3.8896551724,0.0120094745,3.2,0.0107414344,3.7103448276,0.0097034262,4.1121143857,1.96842441098693E-06
3.4051163753,0.0045659355,2.8412870549,0.0281116676,3.137287105,0.0252582948,4.4795114777,3.9110745316612E-06,5.5315777267,0.0117496725,5.7599528606,0.0120945671,6.2306568794,0.0118074056,5.1571128032,1.43894328411814E-06,4.5931034483,0.0112651757,3.7517241379,0.0123884543,4.3034482759,0.0112559216,5.0037421108,2.08043375692283E-06
3.9659368007,0.0033872009,3.3441486394,0.0325272211,3.6548922753,0.0280755609,5.2484873308,2.570800206384E-06,6.5242874247,0.0108180433,6.5713014098,0.0138337084,6.9408689438,0.0131072483,6.0926405153,0.000001521,5.2,0.0108053322,4.4,0.014038559,4.9931034483,0.012428115,5.8820769646,2.04945212910181E-06
4.6029198819,0.0022938437,3.9749258746,0.0363157961,4.2746494324,0.030533264,5.971887625,1.84480520281866E-06,7.3641076432,0.0101594714,7.3442865471,0.015752067,7.8034063199,0.0145778458,6.7940349636,1.60667413204158E-06,5.9310344828,0.010253608,4.9793103448,0.0156864603,5.6827586207,0.0140795417,6.8468713347,2.16653652799953E-06
5.2266262137,0.0016448626,4.5820832837,0.0386853009,4.9077961724,0.0324578285,6.7701301361,1.21271844650116E-06,8.1402521203,0.0095924828,8.1305484338,0.0172260495,8.5391563811,0.0157877977,7.554968071,1.61025964724551E-06,6.6482758621,0.0097972899,5.6137931034,0.016856891,6.4,0.0151567699,7.812671048,2.17267500667864E-06
5.9901709428,0.0009896757,5.4055802466,0.0408676901,5.7321958038,0.0339301184,7.3757935695,9.01072126199349E-07,8.929109179,0.0090249299,8.9549480652,0.0186983395,9.2497069462,0.0168213531,8.2566976337,1.67130561022683E-06,7.3103448276,0.0095309023,6.3034482759,0.0184124711,7.0620689655,0.016040542,8.7202725597,2.1405032422761E-06
6.5880007773,0.0006968726,6.2297542109,0.0425175049,6.5189090248,0.0350490513,8.1298009793,6.02762649633549E-07,9.60344017,0.008551217,9.8173726078,0.0202576993,9.9221197666,0.0178566011,9.1632938022,1.73570724730567E-06,7.9310344828,0.0089756527,6.9655172414,0.0197754765,7.7655172414,0.0172131762,9.3937408076,2.10736193922953E-06
7.2112557749,0.0004029412,6.9913807694,0.0433712788,7.49664947,0.0358932344,8.7647310707,4.47902142668463E-07,9.9219317106,0.0080045384,,,,,9.7778936198,1.73883514883168E-06,8.6206896552,0.0086142999,7.724137931,0.0209498733,8.4551724138,0.0180978297,9.8031389049,2.14730424450802E-06
7.948811173,0.0001926947,8.2870485874,0.0441125954,8.3990170943,0.0360307033,9.3421331894,3.15679218373849E-07,,,,,,,,,9.3103448276,0.0086363336,8.3034482759,0.0220226947,9.1724137931,0.0190792112,,
8.6355162449,-1.52952164837183E-05,9.1129150551,0.0444309741,9.0978705799,0.0362659612,9.8290544189,0.000000256,,,,,,,,,9.875862069,0.0079834747,9.2,0.0232973449,9.8896551724,0.0198688994,,
,,9.862618867,0.0446639754,9.8603998069,0.036409636,,,,,,,,,,,,,9.9310344828,0.0244708604,,,,
