PLUG O,,PLUG Pt,,PLUG OH,,PLUG C,,PLUG CO,,PLUG H,,PLUG H2O,,NS O,,NS Pt,,NS OH,,NS C,,NS CO,,NS H,,NS H2O,
1.0309003802,0.6588261799,1.0780951858,0.2937241491,1.0134391258,0.0011442473,1.0026385224,1.06289427103237E-06,1.0026385224,5.60201633507744E-05,1.0343007916,2.49721442722725E-06,1.0659630607,2.49781734632307E-06,0.9745631255,0.6587428871,1.0073441597,0.3099292099,1.0034730325,0.0058359631,0.9551451187,5.77340655603772E-07,0.9868073879,3.3352345955696E-05,0.9868073879,1.16458916324813E-05,0.9868073879,4.32224288861039E-05
1.8055376337,0.6599725243,1.7680618282,0.3022094517,1.0661523467,0.0020695753,1.6675461741,7.87483415144367E-07,1.635883905,4.14945327672843E-05,1.1451187335,4.88892652805622E-06,1.1609498681,9.27708694801835E-06,1.9041278296,0.6601185657,1.8522382528,0.318993548,1.579282606,0.007649496,1.3509234828,3.4480781663265E-07,1.2875989446,1.84435382102753E-05,1.0817941953,1.39945026632414E-05,1.1609498681,5.96154253350786E-05
2.4815846912,0.6609746002,2.6130382857,0.3068877548,1.2602852554,0.0034075694,2.3324538259,5.65910474992765E-07,2.3324538259,2.89305709302846E-05,1.6992084433,9.45837343242681E-06,1.3984168865,1.93231860891094E-05,3.1012944939,0.6618945063,2.9367304076,0.3197708777,2.3960904361,0.0077674217,1.9841688654,2.55401598101221E-07,1.9208443272,1.34545206984111E-05,1.3192612137,1.51306075367702E-05,1.7941952507,7.41601701633927E-05
3.3688964542,0.6622921342,3.4440951583,0.3033483267,1.7506829382,0.0051785626,3.0131926121,4.06730247038977E-07,2.9340369393,2.14239067943409E-05,2.6807387863,1.3532699492208E-05,1.9208443272,3.91241026848462E-05,4.4391395665,0.6820066754,4.0775598172,0.3205906326,3.6635139402,0.0080021759,2.6649076517,2.07377903941405E-07,2.8707124011,9.98994641075015E-06,1.6992084433,1.63767248626663E-05,2.617414248,8.05395485919059E-05
4.5519788049,0.6640529323,4.1622304282,0.3121313904,2.3689101816,0.0066080748,3.7414248021,2.79354017471087E-07,3.5672823219,1.6112676759855E-05,3.6464379947,1.58784199173565E-05,2.7915567282,6.22304641795367E-05,5.5378807638,0.6655238396,5.2748088459,0.3171537016,4.7196727388,0.0082401173,3.4406332454,1.76393844688329E-07,3.9155672823,0.000008386,2.5382585752,1.67350833978893E-05,3.4089709763,8.22721328923597E-05
5.5658846624,0.6837334348,5.2748088459,0.3171537016,3.2412316224,0.0076780804,4.4221635884,1.91798898852828E-07,4.2005277045,1.14010973222429E-05,4.5171503958,1.69894962873854E-05,3.6464379947,7.75441437602688E-05,6.7632160556,0.6673565092,6.6127362829,0.3224198419,5.8745040976,0.0083734979,4.4063324538,1.54909644300333E-07,4.9129287599,7.59447312868313E-06,3.4881266491,1.76457730453524E-05,4.2955145119,8.53951811618482E-05
6.7348826994,0.6855295688,6.3452990514,0.3136643739,4.0857138935,0.0084530105,5.0870712401,1.35746896594226E-07,4.9129287599,7.59447312868313E-06,5.8153034301,1.76898461562374E-05,4.7546174142,9.10843238406214E-05,8.0730572295,0.6693211509,7.683144124,0.323195305,7.1842629072,0.0085119965,5.308707124,1.42341439319423E-07,5.9102902375,6.87768934269933E-06,4.2005277045,1.77418798183145E-05,5.055408971,8.72111649152231E-05
7.8899611515,0.6690461762,7.4438755199,0.3144386561,5.0010295551,0.0087016064,5.4670184697,1.15117230020224E-07,5.7361477573,4.83668767196501E-06,7.0501319261,1.78571806471852E-05,5.7994722955,9.75873420205437E-05,9.1433003418,0.6892449258,8.7677186432,0.3196496109,8.127911925,0.008530042,6.2110817942,1.30792924088339E-07,6.7968337731,6.22329680468387E-06,5.3403693931,0.000018451,5.9419525066,8.78026577864901E-05
8.8617787967,0.6705069497,8.4861147336,0.3151749983,5.9445138441,0.0089580796,,,6.3535620053,3.52792719550346E-06,8.1583113456,1.88516735254057E-05,6.765171504,0.0001029103,9.8335964419,0.6719709126,9.8521284336,0.3247723613,9.0433923154,0.0085475855,7.018469657,1.18276946247011E-07,7.6833773087,5.89475856938944E-06,6.4327176781,1.83237141068132E-05,6.765171504,9.24913466245956E-05
9.8054278145,0.6719284339,9.5423558966,0.3202057949,6.9160843961,0.0093477207,,,6.9868073879,2.49631032144435E-06,9.2506596306,0.000019598,7.746701847,0.0001052765,,,,,9.8318667893,0.0089157074,7.6833773087,1.15307286192503E-07,8.7598944591,5.42369862597445E-06,7.4617414248,1.87518183401783E-05,7.5883905013,9.45038517922092E-05
,,9.880297061,0.3247928931,7.9584059742,0.0092442925,,,7.5725593668,1.82039360348396E-06,9.8839050132,1.93948449881317E-05,8.981530343,0.0001062723,,,,,,,,,9.7730870712,5.14233571159339E-06,8.5382585752,1.91968746895399E-05,8.3166226913,9.35919203089378E-05
,,,,8.902054992,0.0092638906,,,8.1583113456,1.34789029323016E-06,,,,,,,,,,,,,,,9.2981530343,1.99063561510989E-05,8.9656992084,9.40562410396637E-05
,,,,9.8313726029,0.0096659166,,,8.9498680739,8.32444071586007E-07,,,,,,,,,,,,,,,9.8839050132,1.99954575308262E-05,9.6622691293,9.7485309355358E-05
,,,,,,,,9.8839050132,4.99208922917856E-07,,,,,,,,,,,,,,,,,,
