CH4 PLUG,,CO2 PLUG,,H2OPLUG,,CO PLUG,,CH4 B-L,,CO2 B-L,,H2O B-L,,CO B-L,,CH4 N-S,,CO2 N-S,,H2O N-S,,CO N-S,
0.9703389831,0.0160703812,0.9703389831,0.0018181818,1.0338983051,0.003668485,0.8857446056,2.82045574395164E-05,1.0084745763,0.0160720588,0.9830508475,0.0010269521,1.0593220339,0.0012942368,0.9393629103,1.69439031519787E-06,0.9737097376,0.0163529412,0.9747543838,0.0025882353,1.0117647059,0.0013529412,0.9119952339,3.3041136519565E-06
1.0466101695,0.014402182,1.0593220339,0.0041094861,1.1101694915,0.0063991128,1.2276730028,2.13116418161811E-05,1.2245762712,0.0145859635,1.2881355932,0.0053512227,1.2627118644,0.0049102217,1.086924953,3.42408636173936E-06,1.1368983957,0.0143235294,1.2065166024,0.0066470588,1.2050242507,0.0048823529,1.0489453205,5.40716562057501E-06
1.1228813559,0.0131738655,1.0720338983,0.0062214822,1.1991525424,0.0099220886,1.5283823283,1.39892162389307E-05,1.5042372881,0.0124868284,1.5296610169,0.0098486505,1.5296610169,0.0082650728,1.3276488001,5.22464854243599E-06,1.4649172988,0.0122058824,1.4130580774,0.0108823529,1.3985076483,0.0086764706,1.379479828,7.42668116588416E-06
1.2627118644,0.0114204856,1.1483050847,0.0087761569,1.2881355932,0.0134450644,1.828421425,9.51121899067287E-06,1.9237288136,0.0104818207,1.7711864407,0.0140821487,1.7711864407,0.0122346414,1.8191499265,7.17938066015864E-06,1.8055465738,0.01,1.6321353066,0.0149411765,1.6808605895,0.0125588235,1.8733267552,9.02386416452305E-06
1.3644067797,0.0097534047,1.1737288136,0.0121203837,1.3516949153,0.0158232268,2.1583974084,6.24381304987957E-06,2.2923728814,0.0083865997,2.0381355932,0.0171730702,2.0127118644,0.0154124211,2.2428462383,7.44548872352877E-06,2.1972888944,0.0082352941,1.9144136301,0.0187352941,2.0009700286,0.0160882353,2.5185336883,8.42711794121019E-06
1.5169491525,0.0078246309,1.2372881356,0.0145865227,1.4661016949,0.0189954148,2.5043471785,3.82075836605003E-06,2.75,0.0067351757,2.2796610169,0.0212306153,2.343220339,0.0189460212,2.9026865005,6.95341820820951E-06,2.6146996642,0.0068235294,2.2348215396,0.0226176471,2.3593582888,0.0198823529,3.2971161544,7.21053260427901E-06
1.6440677966,0.0061586684,1.3516949153,0.0174068045,1.5805084746,0.0212878374,2.8788933778,2.42188106721879E-06,3.2838983051,0.0048231771,2.5720338983,0.0252024206,2.75,0.0223949998,3.7853778415,5.45068567742021E-06,3.0446461883,0.0052352941,2.6315632384,0.0267647059,2.7804999378,0.0228823529,4.0178355333,5.95545332246858E-06
1.8601694915,0.0046725732,1.3898305085,0.0204876609,1.7203389831,0.024021261,3.2541098058,1.48214170831829E-06,3.8686440678,0.0037931806,2.8771186441,0.0286469258,3.0805084746,0.0252247875,4.565970994,0.000004197,3.6397960453,0.004,3.0658375824,0.0302941176,3.3031961199,0.0259705882,4.7252620408,4.58470125791099E-06
2.063559322,0.0035378249,1.4661016949,0.0231303121,1.8601694915,0.0266667081,3.6153631337,8.75672487576631E-07,4.5042372881,0.0025894677,3.2203389831,0.0313892962,3.4745762712,0.0273535588,5.3485748329,2.90824358229558E-06,4.2731501057,0.0029411765,3.4997388385,0.0333823529,3.8638726527,0.0289705882,5.5500902947,3.46914967144505E-06
2.2796610169,0.0026675655,1.5550847458,0.0255095929,2.0889830508,0.0290521398,3.9613129038,5.35847719350403E-07,5.1398305085,0.0020015905,3.6144067797,0.0342218798,3.906779661,0.0296599607,6.1162102284,2.05085831581072E-06,4.9066534013,0.0020588235,4.021987315,0.0359411765,4.5253575426,0.0311764706,6.331353676,0.000002579
